Position,Track Name,Artist,Streams,Date,Genre
51,Bounce Back,Big Sean,859929,2017-01-01,"['rap', 'pop rap', 'detroit hip hop', 'trap', 'southern hip hop', 'hip hop']"
52,Love Yourself,Justin Bieber,858762,2017-01-01,"['canadian pop', 'post-teen pop', 'pop']"
53,Cake By The Ocean,DNCE,830889,2017-01-01,"['pop', 'post-teen pop', 'dance pop', 'pop rock']"
54,Party Monster,The Weeknd,829599,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
55,Sorry,Justin Bieber,827170,2017-01-01,"['canadian pop', 'post-teen pop', 'pop']"
56,Ride,Twenty One Pilots,825398,2017-01-01,"['modern rock', 'rock']"
57,La Bicicleta,Carlos Vives,810362,2017-01-01,"['colombian pop', 'champeta', 'latin', 'vallenato', 'latin pop', 'tropical']"
58,Perfect Strangers,Jonas Blue,806283,2017-01-01,"['tropical house', 'uk dance', 'pop dance', 'pop', 'dance pop', 'edm']"
59,Panda,Desiigner,788804,2017-01-01,"['viral trap', 'trap', 'rap', 'pop rap']"
60,Too Good,Drake,786785,2017-01-01,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']"
61,"How Far I'll Go - From ""Moana""",Alessia Cara,778773,2017-01-01,"['pop', 'post-teen pop', 'canadian pop', 'canadian contemporary r&b', 'dance pop', 'electropop']"
62,Sexual,NEIKED,770804,2017-01-01,['scandipop']
63,Into You,Ariana Grande,762502,2017-01-01,"['pop', 'post-teen pop', 'dance pop']"
64,Stressed Out,Twenty One Pilots,758614,2017-01-01,"['modern rock', 'rock']"
65,Deja Vu,J. Cole,748367,2017-01-01,"['north carolina hip hop', 'conscious hip hop', 'rap', 'hip hop']"
66,Shaky Shaky,Daddy Yankee,735912,2017-01-01,"['reggaeton', 'latin', 'latin hip hop', 'trap latino']"
67,Faded,Alan Walker,713049,2017-01-01,"['pop dance', 'electro house']"
68,The Greatest (feat. Kendrick Lamar),Sia,709411,2017-01-01,"['pop', 'australian dance', 'australian pop', 'dance pop']"
69,Controlla,Drake,687222,2017-01-01,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']"
70,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,686053,2017-01-01,"['moombahton', 'pop', 'edm', 'dance pop', 'pop dance', 'pop rap', 'electro house']"
71,Traicionera,Sebastian Yatra,685732,2017-01-01,"['reggaeton colombiano', 'colombian pop', 'reggaeton', 'latin']"
72,X (feat. Future),21 Savage,673320,2017-01-01,"['atl hip hop', 'rap', 'trap', 'hip hop']"
73,Send My Love (To Your New Lover),Adele,672465,2017-01-01,"['pop soul', 'british soul', 'uk pop', 'pop']"
74,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,672103,2017-01-01,"['trap', 'pop rap', 'chicago bop', 'nyc rap', 'rap', 'viral trap']"
75,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,666941,2017-01-01,"['mexican pop', 'latin pop', 'dance pop', 'latin', 'pop']"
76,Hymn for the Weekend - Seeb Remix,Coldplay,655597,2017-01-01,"['permanent wave', 'pop']"
77,"i hate u, i love u (feat. olivia o'brien)",gnash,653547,2017-01-01,"['indie cafe pop', 'pop', 'alt z', 'social media pop', 'sad rap', 'electropop', 'pop rap']"
78,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,650717,2017-01-01,"['rap', 'pop rap', 'new orleans rap', 'trap', 'hip hop']"
79,Solo Dance,Martin Jensen,647007,2017-01-01,"['tropical house', 'pop dance', 'danish electronic', 'edm', 'dance pop', 'pop edm', 'deep house', 'pop', 'electro house']"
80,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,646550,2017-01-01,['san diego rap']
81,Deu Onda,MC G15,640703,2017-01-01,"['funk carioca', 'funk paulista', 'funk ostentacao']"
82,The Ocean (feat. Shy Martin),Mike Perry,621355,2017-01-01,"['swedish tropical house', 'tropical house', 'pop dance', 'pop edm', 'deep tropical house', 'edm', 'electro house', 'pop', 'dance pop']"
83,Needed Me,Rihanna,618514,2017-01-01,"['barbadian pop', 'pop', 'dance pop', 'post-teen pop', 'urban contemporary']"
84,Human,Rag'n'Bone Man,615851,2017-01-01,['neo soul']
85,Setting Fires,The Chainsmokers,599513,2017-01-01,"['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']"
86,The Greatest,Sia,597051,2017-01-01,"['pop', 'australian dance', 'australian pop', 'dance pop']"
87,7 Years,Lukas Graham,593676,2017-01-01,"['scandipop', 'pop', 'danish pop']"
88,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,586302,2017-01-01,"['tropical house', 'new french touch', 'pop dance']"
89,Sneakinâ,Drake,580939,2017-01-01,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']"
90,OOOUUU,Young M.A,580826,2017-01-01,"['nyc rap', 'lgbtq+ hip hop', 'rap', 'trap', 'pop rap']"
91,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,579504,2017-01-01,"['shiver pop', 'downtempo', 'pop', 'post-teen pop']"
92,Make Me (Cry),Noah Cyrus,577810,2017-01-01,"['pop', 'post-teen pop', 'alt z', 'dance pop']"
93,Lot to Learn,Luke Christopher,570299,2017-01-01,"['indie pop rap', 'pop rap']"
94,Fast Car,Jonas Blue,567927,2017-01-01,"['tropical house', 'uk dance', 'pop dance', 'pop', 'dance pop', 'edm']"
95,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,567639,2017-01-01,"['rap', 'conscious hip hop', 'chicago rap', 'pop rap', 'hip hop']"
96,Water Under the Bridge,Adele,565509,2017-01-01,"['pop soul', 'british soul', 'uk pop', 'pop']"
97,Shout Out to My Ex,Little Mix,561342,2017-01-01,"['talent show', 'pop', 'girl group', 'post-teen pop', 'uk pop', 'dance pop']"
98,No Heart,21 Savage,553704,2017-01-01,"['atl hip hop', 'rap', 'trap', 'hip hop']"
99,Middle,DJ Snake,552314,2017-01-01,"['pop', 'electronic trap', 'dance pop', 'edm', 'pop dance', 'pop rap']"
100,Dile Que Tu Me Quieres,Ozuna,549784,2017-01-01,"['puerto rican pop', 'trap latino', 'reggaeton', 'latin']"
101,"Me, Myself & I",G-Eazy,546883,2017-01-01,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap', 'hip hop']"
102,Capsize,FRENSHIP,543362,2017-01-01,"['la pop', 'indie poptimism', 'electropop', 'tropical house', 'pop edm', 'pop dance']"
103,Billie Jean,Michael Jackson,538134,2017-01-01,"['soul', 'r&b', 'pop']"
104,Lean On (feat. MÃ & DJ Snake),Major Lazer,536139,2017-01-01,"['moombahton', 'pop', 'edm', 'dance pop', 'pop dance', 'pop rap', 'electro house']"
105,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,534629,2017-01-01,"['cubaton', 'reggaeton']"
106,Borro Cassette,Maluma,531529,2017-01-01,"['reggaeton colombiano', 'reggaeton', 'latin']"
107,Andas En Mi Cabeza,Chino & Nacho,523705,2017-01-01,['tamaulipas rap']
108,Sunset Lover,Petit Biscuit,520460,2017-01-01,"['new french touch', 'tropical house']"
109,Sidewalks,The Weeknd,516467,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
110,Sex,Cheat Codes,515548,2017-01-01,"['pop dance', 'tropical house', 'pop', 'edm', 'dance pop', 'electropop', 'post-teen pop', 'electro house', 'pop edm']"
111,Final Song,MÃ,505038,2017-01-01,"['electropop', 'pop', 'tropical house', 'dance pop', 'art pop', 'danish pop', 'indie poptimism']"
112,All Time Low,Jon Bellion,501034,2017-01-01,['pop rap']
113,Versace on the Floor,Bruno Mars,500917,2017-01-01,"['pop', 'post-teen pop', 'dance pop']"
114,Six Feet Under,The Weeknd,489564,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
115,Fresh Eyes,Andy Grammer,489550,2017-01-01,"['neo mellow', 'pop rock', 'pop', 'post-teen pop', 'modern rock', 'dance pop']"
116,Vacaciones,Wisin,487214,2017-01-01,"['latin', 'reggaeton', 'latin hip hop', 'trap latino']"
117,Bohemian Rhapsody - Remastered 2011,Queen,482964,2017-01-01,"['glam rock', 'classic rock', 'rock']"
118,pick up the phone,Young Thug,480609,2017-01-01,"['rap', 'melodic rap', 'trap', 'atl hip hop', 'atl trap', 'pop rap', 'hip hop', 'gangster rap']"
119,You Was Right,Lil Uzi Vert,476850,2017-01-01,"['melodic rap', 'philly rap', 'rap', 'trap']"
120,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,476309,2017-01-01,['chicano rap']
121,Roses (feat. ROZES),The Chainsmokers,475190,2017-01-01,"['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']"
122,Jumpman,Drake,473297,2017-01-01,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']"
123,Photograph,Ed Sheeran,472142,2017-01-01,"['uk pop', 'pop']"
124,PILLOWTALK,ZAYN,470638,2017-01-01,"['pop', 'post-teen pop', 'uk pop', 'dance pop']"
125,Pumped Up Kicks,Foster The People,467384,2017-01-01,"['modern rock', 'indietronica', 'rock', 'modern alternative rock', 'pop']"
126,What Do You Mean?,Justin Bieber,464343,2017-01-01,"['canadian pop', 'post-teen pop', 'pop']"
127,Lush Life,Zara Larsson,460606,2017-01-01,"['pop', 'scandipop', 'dance pop', 'swedish electropop', 'post-teen pop', 'tropical house', 'swedish pop', 'pop dance', 'electropop', 'edm']"
128,Hotline Bling,Drake,459418,2017-01-01,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']"
129,Redbone,Childish Gambino,455949,2017-01-01,"['rap', 'atl hip hop', 'pop rap', 'hip hop']"
130,No Money,Galantis,453779,2017-01-01,"['pop dance', 'tropical house', 'edm', 'dance pop', 'pop', 'electro house']"
131,"Happy - From ""Despicable Me 2""",Pharrell Williams,453426,2017-01-01,['pop rap']
132,Hello,Adele,448638,2017-01-01,"['pop soul', 'british soul', 'uk pop', 'pop']"
133,This Town,Niall Horan,445379,2017-01-01,"['pop', 'post-teen pop', 'dance pop']"
134,Never Be Like You,Flume,445025,2017-01-01,"['australian electropop', 'downtempo', 'australian dance', 'australian indie', 'edm']"
135,I Got You,Bebe Rexha,443982,2017-01-01,"['pop', 'dance pop', 'post-teen pop', 'electropop']"
136,Titanium (feat. Sia),David Guetta,441628,2017-01-01,"['big room', 'dance pop', 'edm', 'pop dance', 'pop']"
137,Love on Me,Galantis,441050,2017-01-01,"['pop dance', 'tropical house', 'edm', 'dance pop', 'pop', 'electro house']"
138,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,440038,2017-01-01,"['seattle hip hop', 'pop rap']"
139,Me llamas (feat. Maluma) - Remix,Piso 21,439910,2017-01-01,"['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin', 'latin pop']"
140,Lighthouse - Andrelli Remix,Hearts & Colors,439245,2017-01-01,"['Sorry', ""that one doesn't seem to be on any of these maps yet.""]"
141,Thinking out Loud,Ed Sheeran,436476,2017-01-01,"['uk pop', 'pop']"
142,I Want You Back,The Jackson 5,436184,2017-01-01,"['motown', 'soul']"
143,Weak,AJR,428247,2017-01-01,"['modern rock', 'pop rap']"
144,Stitches,Shawn Mendes,426162,2017-01-01,"['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']"
145,Neighbors,J. Cole,425033,2017-01-01,"['north carolina hip hop', 'conscious hip hop', 'rap', 'hip hop']"
146,Dancing On My Own,Calum Scott,420756,2017-01-01,"['indie cafe pop', 'pop', 'viral pop', 'neo mellow']"
147,iSpy (feat. Lil Yachty),KYLE,418210,2017-01-01,"['pop rap', 'rap', 'social media pop']"
148,Dynamite (feat. Pretty Sister),Nause,413497,2017-01-01,"['progressive electro house', 'swedish pop', 'edm', 'pop dance']"
149,Ain't No Mountain High Enough,Marvin Gaye,413039,2017-01-01,"['motown', 'soul', 'northern soul', 'quiet storm', 'indie r&b', 'classic soul', 'funk']"
150,Ain't My Fault,Zara Larsson,411636,2017-01-01,"['pop', 'scandipop', 'dance pop', 'swedish electropop', 'post-teen pop', 'tropical house', 'swedish pop', 'pop dance', 'electropop', 'edm']"
151,Gold,Kiiara,410605,2017-01-01,"['electropop', 'indie poptimism', 'alt z', 'pop', 'dance pop']"
152,Low Life (feat. The Weeknd),Future,409112,2017-01-01,"['rap', 'atl hip hop', 'trap', 'pop rap', 'southern hip hop']"
153,Gyal You A Party Animal - Remix,Charly Black,406113,2017-01-01,['dancehall']
154,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,403095,2017-01-01,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap', 'hip hop']"
155,Hasta el Amanecer,Nicky Jam,400584,2017-01-01,"['latin', 'reggaeton', 'latin hip hop', 'trap latino']"
156,Can't Feel My Face,The Weeknd,398209,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
157,Love On The Brain,Rihanna,397058,2017-01-01,"['barbadian pop', 'pop', 'dance pop', 'post-teen pop', 'urban contemporary']"
158,Desde Esa Noche (feat. Maluma),Thalia,396612,2017-01-01,"['mexican pop', 'latin pop', 'latin', 'dance pop']"
159,Reminder,The Weeknd,396409,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
160,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,393026,2017-01-01,"['reggaeton colombiano', 'reggaeton', 'latin']"
161,My House,Flo Rida,391880,2017-01-01,"['miami hip hop', 'dance pop', 'pop rap', 'pop']"
162,No Role Modelz,J. Cole,389511,2017-01-01,"['north carolina hip hop', 'conscious hip hop', 'rap', 'hip hop']"
163,The Hills,The Weeknd,389467,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
164,Swang,Rae Sremmurd,387386,2017-01-01,"['rap', 'mississippi hip hop', 'melodic rap', 'trap', 'pop rap', 'southern hip hop', 'hip hop']"
165,Don't Stop Me Now - Remastered 2011,Queen,387160,2017-01-01,"['glam rock', 'classic rock', 'rock']"
166,Let Me Hold You (Turn Me On),Dante Klein,385235,2017-01-01,['pop edm']
167,Uptown Funk (feat. Bruno Mars),Mark Ronson,385214,2017-01-01,"['dance pop', 'pop', 'neo soul']"
168,La Gozadera (feat. Marc Anthony),Gente De Zona,377647,2017-01-01,"['cubaton', 'latin', 'latin hip hop', 'latin pop']"
169,Say It (feat. Tove Lo),Flume,373311,2017-01-01,"['australian electropop', 'downtempo', 'australian dance', 'australian indie', 'edm']"
170,goosebumps,Travis Scott,371600,2017-01-01,"['slap house', 'rap']"
171,That's What I Like,Bruno Mars,371473,2017-01-01,"['pop', 'post-teen pop', 'dance pop']"
172,Light,San Holo,371468,2017-01-01,"['electronic trap', 'edm', 'future bass', 'vapor twitch', 'pop dance', 'pop edm', 'electropop', 'electro house']"
173,Immortal,J. Cole,367746,2017-01-01,"['north carolina hip hop', 'conscious hip hop', 'rap', 'hip hop']"
174,Chillax (feat. Ky-Mani Marley),Farruko,363805,2017-01-01,"['reggaeton', 'latin', 'latin hip hop', 'trap latino']"
175,Wake Up Where You Are,State of Sound,362966,2017-01-01,"['swedish tropical house', 'deep tropical house', 'tropical house']"
176,Would I Lie to You - Radio Edit,David Guetta,359074,2017-01-01,"['big room', 'dance pop', 'edm', 'pop dance', 'pop']"
177,Please Don't Go,Joel Adams,357531,2017-01-01,"['pop soul', 'australian pop']"
178,Rockinâ,The Weeknd,357162,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
179,Sugar (feat. Francesco Yates),Robin Schulz,355613,2017-01-01,"['german dance', 'tropical house', 'deep euro house', 'pop dance', 'deep house', 'edm', 'pop', 'dance pop']"
180,Hymn for the Weekend,Coldplay,352612,2017-01-01,"['permanent wave', 'pop']"
181,Alarm,Anne-Marie,351130,2017-01-01,"['pop', 'uk pop', 'dance pop', 'post-teen pop', 'tropical house', 'pop dance']"
182,You & Me,Marc E. Bassy,350746,2017-01-01,"['pop rap', 'pop', 'r&b', 'electropop', 'rap']"
183,No Lie,Sean Paul,350700,2017-01-01,"['dance pop', 'dancehall', 'pop rap', 'pop']"
184,Bobo,J Balvin,350414,2017-01-01,"['reggaeton colombiano', 'reggaeton', 'trap latino', 'latin']"
185,Stay (feat. Maty Noyes),Kygo,347597,2017-01-01,"['tropical house', 'pop dance', 'pop', 'edm']"
186,Used to This (feat. Drake),Future,344032,2017-01-01,"['rap', 'atl hip hop', 'trap', 'pop rap', 'southern hip hop']"
187,Purple Lamborghini (with Rick Ross),Skrillex,343807,2017-01-01,"['brostep', 'edm', 'electro', 'complextro', 'pop dance']"
188,Cool Girl,Tove Lo,343803,2017-01-01,"['pop', 'swedish electropop', 'electropop', 'dance pop', 'metropopolis', 'swedish synthpop', 'post-teen pop', 'swedish pop', 'pop rap']"
189,Miss You,James Hersey,342000,2017-01-01,['tropical house']
190,Die For You,The Weeknd,341736,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
191,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,341046,2017-01-01,"['detroit hip hop', 'rap', 'hip hop']"
192,Paper Planes,M.I.A.,341003,2017-01-01,"['indietronica', 'escape room', 'new rave', 'dance pop']"
193,Let It Go,James Bay,340299,2017-01-01,"['pop', 'neo mellow', 'pop rock', 'modern rock']"
194,Famous,Kanye West,336134,2017-01-01,"['chicago rap', 'rap']"
195,Taped up Heart (feat. Clara Mae),KREAM,333469,2017-01-01,"['pop dance', 'tropical house', 'edm', 'pop edm', 'house', 'electro house', 'deep groove house', 'dance pop', 'progressive house']"
196,White Iverson,Post Malone,332756,2017-01-01,"['dfw rap', 'melodic rap', 'rap']"
197,Oh Lord,MiC LOWRY,331792,2017-01-01,"['pop r&b', 'trap soul', 'post-teen pop', 'r&b', 'chill r&b', 'alternative r&b', 'urban contemporary', 'afroswing', 'dance pop', 'hip pop']"
198,Superstition - Single Version,Stevie Wonder,331376,2017-01-01,"['motown', 'soul', 'quiet storm', 'indie r&b', 'funk']"
199,Secrets,The Weeknd,331233,2017-01-01,"['canadian pop', 'canadian contemporary r&b', 'pop']"
200,Ni**as In Paris,JAY-Z,325951,2017-01-01,"['rap', 'hip hop', 'east coast hip hop', 'pop rap']"
1,Starboy,The Weeknd,3342769,2017-01-02,"['canadian pop', 'canadian contemporary r&b', 'pop']"
2,Closer,The Chainsmokers,3019058,2017-01-02,"['pop', 'pop dance', 'tropical house', 'edm', 'electropop', 'dance pop']"
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2726981,2017-01-02,"['pop', 'uk dance', 'dance pop', 'uk funky', 'tropical house', 'pop dance', 'post-teen pop', 'edm']"
4,Let Me Love You,DJ Snake,2524666,2017-01-02,"['pop', 'electronic trap', 'dance pop', 'edm', 'pop dance', 'pop rap']"
5,Don't Wanna Know,Maroon 5,2362830,2017-01-02,"['pop', 'pop rock']"
6,"I Donât Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2329762,2017-01-02,"['pop', 'post-teen pop', 'uk pop', 'dance pop']"
7,Say You Won't Let Go,James Arthur,2263324,2017-01-02,"['pop', 'uk pop', 'talent show', 'post-teen pop']"
8,Fake Love,Drake,2241455,2017-01-02,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']"
9,24K Magic,Bruno Mars,2152569,2017-01-02,"['pop', 'post-teen pop', 'dance pop']"
10,I Feel It Coming,The Weeknd,2135229,2017-01-02,"['canadian pop', 'canadian contemporary r&b', 'pop']"
11,Black Beatles,Rae Sremmurd,2114909,2017-01-02,"['rap', 'mississippi hip hop', 'melodic rap', 'trap', 'pop rap', 'southern hip hop', 'hip hop']"
12,One Dance,Drake,1989817,2017-01-02,"['toronto rap', 'canadian pop', 'canadian hip hop', 'rap', 'pop rap', 'hip hop']"
13,Chantaje (feat. Maluma),Shakira,1866507,2017-01-02,"['colombian pop', 'dance pop', 'latin pop', 'pop', 'latin']"
14,Cold Water (feat. Justin Bieber & MÃ),Major Lazer,1830616,2017-01-02,"['moombahton', 'pop', 'edm', 'dance pop', 'pop dance', 'pop rap', 'electro house']"
15,Call On Me - Ryan Riback Extended Remix,Starley,1810528,2017-01-02,"['aussietronica', 'tropical house', 'pop dance']"
16,In the Name of Love,Martin Garrix,1808723,2017-01-02,"['dutch edm', 'pop dance', 'edm', 'tropical house', 'pop', 'progressive house', 'dance pop']"
17,Bad and Boujee (feat. Lil Uzi Vert),Migos,1676078,2017-01-02,"['rap', 'atl hip hop', 'trap', 'pop rap']"
18,Side To Side,Ariana Grande,1645732,2017-01-02,"['pop', 'post-teen pop', 'dance pop']"
19,Just Hold On,Steve Aoki,1638543,2017-01-02,"['edm', 'pop dance', 'electro house', 'tropical house', 'dance pop', 'pop']"
20,Starving,Hailee Steinfeld,1547351,2017-01-02,"['pop', 'post-teen pop', 'dance pop']"
